ITEM;CANTIDAD;PRECIO
MinION Mk1C o Mk1D;1;US$	4.500,00
Termociclador PCR;1;US$	6.000,00
Microcentrífuga;1;US$	2.000,00
Vortex;1;US$	1.500,00
Bloque térmico;1;US$	3.000,00
Set completo (P2–P1000);1;US$	6.000,00
Plásticos varios;1;US$	4.000,00
Workstation análisis bioinformático;1;US$	4.000,00
TOTAL;;US$ 31.000,00
