ITEMS Y MESES;;0;1;2;3;4;5;6;7;8;9;10;11;12;TOTAL ANUAL;NOTAS
EGRESOS;;;;;;;;;;;;;;;;
GASTOS INICIALES;DETALLES;VALORES;;;;;;;;;;;;;;
 Gastos Capital ARRANQUE LABO;EQUIPOS;US$ 31.000,00;;;;;;;US$	4.500,00;;;;;;US$ 35.500,00;
GO.Variables SERIE EXPERIMENTAL;94 muestras;US$	15.282,00;;;;;;;;;;;;;US$	15.282,00;
GO.Variables INSUMOS MUESTRA GRATIS;Hasta 100 PGTs;US$	20.000,00;;;;;;;;;;;;;US$	20.000,00;
GO.Variables FORMACION EMPRESA;ABOG/ESCRIB;US$	6.000,00;;;;;;;;;;;;;US$	6.000,00;
GASTOS FRECUENTES;;;;;;;;;;;;;;;;
GO Fijo. MARKETING / PACKAGING;WEB/CAJAS/RRSS;US$	7.000,00;;US$	1.000,00;;US$	1.000,00;;US$	1.000,00;;US$	1.000,00;;US$	1.000,00;;;US$	12.000,00;
GO Fijo. ALQUILER LAB Y OFICI-S;REPROTEC;US$	4.000,00;US$	4.000,00;US$	4.000,00;US$	4.000,00;US$	4.000,00;US$	4.000,00;US$	4.000,00;US$	4.000,00;US$	4.000,00;US$	4.000,00;US$	4.000,00;US$	4.000,00;US$	4.000,00;US$	52.000,00;
GO Fijo. SALARIOS;Técnico + Bioinfo + Director medico (genetista);US$	1.500,00;US$	4.500,00;US$	4.500,00;US$	4.500,00;US$	4.500,00;US$	4.500,00;US$	4.500,00;US$	4.500,00;US$	4.500,00;US$	4.500,00;US$	4.500,00;US$	4.500,00;US$	4.500,00;US$	55.500,00;
;Administrativo;US$	1.000,00;US$	1.000,00;US$	1.000,00;US$	1.000,00;US$	1.000,00;US$	1.000,00;US$	1.000,00;US$	1.000,00;US$	1.000,00;US$	1.000,00;US$	1.000,00;US$	1.000,00;US$	1.000,00;US$	13.000,00;
;Socios;US$	2.000,00;;;;;;;US$	6.000,00;US$	6.000,00;US$	6.000,00;US$	6.000,00;US$	6.000,00;US$	6.000,00;US$	36.000,00;
INSUMOS;COSTO;;;;;;;;;;;;;;;
GO.Variables PROMEDIO FAST-PGT;US$	130,00;;US$	650,00;US$	1.300,00;US$	1.950,00;US$	2.210,00;US$	3.250,00;US$	5.200,00;US$	7.800,00;US$	8.450,00;US$	8.450,00;US$	9.100,00;US$	9.100,00;US$	9.750,00;US$	67.210,00;
GO.Variables PROMEDIO REG-PGT;US$	90,00;;US$	450,00;US$	900,00;US$	1.350,00;US$	1.800,00;US$	2.250,00;US$	4.500,00;US$	5.400,00;US$	5.850,00;US$	5.850,00;US$	6.300,00;US$	6.300,00;US$	6.750,00;US$	47.700,00;
GO.Variables NUBE AWS;;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	2.600,00;
TOTAL EGRESOS MENSUALES;;US$ 85.982,00;US$ 10.800,00;US$ 12.900,00;US$ 13.000,00;US$ 14.710,00;US$ 15.200,00;US$ 20.400,00;US$	33.400,00;US$ 31.000,00;US$ 30.000,00;US$ 32.100,00;US$ 31.100,00;US$ 32.200,00;US$	362.792,00;ESTE VALOR INCLUYE LA INVERSION DEL  MES CERO
 A:;;;;;;;;;;;;;;;;
INGRESOS;;;;;;;;;;;;;;;;
VENTAS AÑO 1;PRECIO;;;;;;;;;;;;;;;
FAST-PGT;US$	300,00;;5;10;15;17;25;40;60;65;65;70;70;75;517;
REG-PGT;US$	250,00;;5;10;15;20;25;50;60;65;65;70;70;75;530;
# PGT-TOTALES;;;10;20;30;37;50;90;120;130;130;140;140;150;1.047;
US$ FAST-PGT;;;US$	1.500,00;US$	3.000,00;US$	4.500,00;US$	5.100,00;US$	7.500,00;US$	12.000,00;US$	18.000,00;US$	19.500,00;US$	19.500,00;US$	21.000,00;US$	21.000,00;US$	22.500,00;US$	155.100,00;
US$ REG-PGT;;;US$	1.250,00;US$	2.500,00;US$	3.750,00;US$	5.000,00;US$	6.250,00;US$	12.500,00;US$	15.000,00;US$	16.250,00;US$	16.250,00;US$	17.500,00;US$	17.500,00;US$	18.750,00;US$	132.500,00;
TOTAL PGT;;;US$	2.750,00;US$	5.500,00;US$	8.250,00;US$	10.100,00;US$	13.750,00;US$	24.500,00;US$	33.000,00;US$	35.750,00;US$	35.750,00;US$	38.500,00;US$	38.500,00;US$	41.250,00;US$	287.600,00;
;;;;;;;;;;;;;;;;
VENTAS - (GASTOS + COSTOS);;;;;;;;;;;;;;;US$	(75.192,00);
