ITEMS Y MESES;;0;1;2;3;4;5;6;7;8;9;10;11;12;TOTAL ANUAL;NOTAS
EGRESOS;;;;;;;;;;;;;;;;
GASTOS INICIALES;DETALLES;VALORES;;;;;;;;;;;;;;
CONSOLIDACION LABO;EQUIPOS;US$ 24.500,00;;;;;;;;;;;;;US$ 24.500,00;
MANTENIMIENTO EMPRESA;CONTADOR;;US$	1.500,00;;;;US$	1.500,00;;;;US$	1.500,00;;;US$	1.500,00;US$	6.000,00;
ASESORAMIENTO NORMATIVO;ISO IRAM ETC;;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	18.000,00;
MARKETING / PACKAGING;WEB/CAJAS/RRSS;;US$	2.000,00;;;US$	1.000,00;;US$	1.000,00;;US$	1.000,00;;US$	1.000,00;;;US$	6.000,00;
GASTOS FRECUENTES;;;;;;;;;;;;;;;;
ALQUILER LAB Y OFICI-S;REPROTEC;US$	4.600,00;US$	4.600,00;US$	4.600,00;US$	4.600,00;US$	4.600,00;US$	4.600,00;US$	4.600,00;US$	4.600,00;US$	4.600,00;US$	4.600,00;US$	4.600,00;US$	4.600,00;US$	4.600,00;US$	55.200,00;
SALARIOS;Técnico + Bioinfo + Director medico (genetista);US$	1.725,00;US$	5.175,00;US$	5.175,00;US$	5.175,00;US$	5.175,00;US$	5.175,00;US$	5.175,00;US$	5.175,00;US$	5.175,00;US$	5.175,00;US$	5.175,00;US$	5.175,00;US$	5.175,00;US$	62.100,00;
;Administrativo;US$	1.150,00;US$	1.300,00;US$	1.300,00;US$	1.300,00;US$	1.300,00;US$	1.300,00;US$	2.300,00;US$	2.300,00;US$	2.600,00;US$	2.600,00;US$	2.600,00;US$	2.600,00;US$	2.600,00;US$	24.100,00;
;Socios;US$	2.300,00;US$	6.900,00;US$	6.900,00;US$	6.900,00;US$	6.900,00;US$	6.900,00;US$	6.900,00;US$	6.900,00;US$	6.900,00;US$	6.900,00;US$	6.900,00;US$	6.900,00;US$	6.900,00;US$	82.800,00;
INSUMOS;COSTO;;;;;;;;;;;;;;;
PROMEDIO FAST-PGT;US$	143,00;;US$	2.860,00;US$	2.860,00;US$	4.290,00;US$	4.290,00;US$	5.005,00;US$	7.150,00;US$	10.010,00;US$	12.870,00;US$	14.300,00;US$	15.730,00;US$	17.160,00;US$	18.590,00;US$	115.115,00;
PROMEDIO REG-PGT;US$	99,00;;US$	4.950,00;US$	4.950,00;US$	6.930,00;US$	7.425,00;US$	7.920,00;US$	8.415,00;US$	8.910,00;US$	9.900,00;US$	11.880,00;US$	12.870,00;US$	13.860,00;US$	14.850,00;US$	112.860,00;
NUBE AWS;;US$	210,00;US$	210,00;US$	210,00;US$	210,00;US$	210,00;US$	210,00;US$	210,00;US$	210,00;US$	210,00;US$	210,00;US$	210,00;US$	210,00;US$	210,00;US$	2.730,00;
TOTAL EGRESOS MENSUALES;;US$ 32.185,00;US$	22.975,00;US$	19.475,00;US$	19.475,00;US$	20.475,00;US$	34.110,00;US$	37.250,00;US$	39.605,00;US$	44.755,00;US$	48.665,00;US$	50.585,00;US$	52.005,00;US$	55.925,00;US$	509.405,00;
 A:;;;;;;;;;;;;;;;;
INGRESOS;;;;;;;;;;;;;;;;
VENTAS AÑO 2;PRECIO;;;;;;;;;;;;;;;
FAST-PGT;US$	330,00;;20;20;30;30;35;50;70;90;100;110;120;130;805;
REG-PGT;US$	275,00;;50;50;70;75;80;85;90;100;120;130;140;150;1140;
# PGT-TOTALES;;;70;70;100;105;115;135;160;190;220;240;260;280;1.945;
US$ FAST-PGT;;;US$	6.600,00;US$	6.600,00;US$	9.900,00;US$	9.900,00;US$	11.550,00;US$	16.500,00;US$	23.100,00;US$	29.700,00;US$	33.000,00;US$	36.300,00;US$	39.600,00;US$	42.900,00;US$	265.650,00;
US$ REG-PGT;;;US$	13.750,00;US$	13.750,00;US$	19.250,00;US$	20.625,00;US$	22.000,00;US$	23.375,00;US$	24.750,00;US$	27.500,00;US$	33.000,00;US$	35.750,00;US$	38.500,00;US$	41.250,00;US$	313.500,00;
TOTAL PGT;;;US$	20.350,00;US$	20.350,00;US$	29.150,00;US$	30.525,00;US$	33.550,00;US$	39.875,00;US$	47.850,00;US$	57.200,00;US$	66.000,00;US$	72.050,00;US$	78.100,00;US$	84.150,00;US$	579.150,00;
;;;;;;;;;;;;;;;;
VENTAS - (GASTOS + COSTOS);;;;;;;;;;;;;;;US$	69.745,00;
